P144340,PASSENGER,JC246857,607330,05/02/2019 02:45:00 PM,10,CHICAGO,IL,,F,17,,,USAGE UNKNOWN,DID NOT DEPLOY,NONE,"REPORTED, NOT EVIDENT",UIC,CFD,65,,,,,,,,,
P144348,PASSENGER,JC246857,607330,05/02/2019 02:45:00 PM,11,,,,F,8,,,USAGE UNKNOWN,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,MERCY,CFD,66,,,,,,,,,
O637633,DRIVER,JC246962,607310,05/02/2019 02:40:00 PM,,,,,M,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,DNA,,,FOLLOWED TOO CLOSELY,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
O637634,DRIVER,JC246962,607326,05/02/2019 02:40:00 PM,,PALOS HILLS,IL,60465,M,53,IL,D,USAGE UNKNOWN,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,DNA,,,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
O637744,DRIVER,JC246932,607400,05/02/2019 02:40:00 PM,,CHICAGO,IL,60643,M,66,IL,A,USAGE UNKNOWN,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,FOLLOWED TOO CLOSELY,NOT OBSCURED,UNKNOWN,,,,TEST NOT OFFERED,,
O637745,DRIVER,JC246932,607411,05/02/2019 02:40:00 PM,,HICKORY HILLS,IL,60457,M,51,IL,A,USAGE UNKNOWN,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
O637645,DRIVER,JC246859,607319,05/02/2019 02:34:00 PM,,CHICAGO,IL,60629,M,21,IL,D,SAFETY BELT USED,"DEPLOYED, COMBINATION",NONE,NO INDICATION OF INJURY,DNA,DNA,,OTHER,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
P144337,PASSENGER,JC246859,607319,05/02/2019 02:34:00 PM,3,CHICAGO,IL,60620,F,27,,,SAFETY BELT USED,"DEPLOYED, COMBINATION",NONE,NO INDICATION OF INJURY,REFUSED,REFUSED,DNA,,,,,,,,,
O637646,DRIVER,JC246859,607332,05/02/2019 02:34:00 PM,,CHICAGO,IL,60620,F,32,IL,D,SAFETY BELT USED,"DEPLOYED, FRONT",NONE,NONINCAPACITATING INJURY,LCM,CFD AMB #18,,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
P144347,PASSENGER,JC246859,607332,05/02/2019 02:34:00 PM,6,CHICAGO,IL,60620,M,100,,,CHILD RESTRAINT - REAR FACING,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,LCM,CFD #18,,,,,,,,,,
O637644,DRIVER,JC246859,607342,05/02/2019 02:34:00 PM,,CHICAGO,IL,60620,M,35,IL,D,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NONINCAPACITATING INJURY,LCM,CFD AMB#79,,OTHER,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
O638243,DRIVER,JC247000,607888,05/02/2019 02:31:00 PM,,CHICAGO,IL,60636,F,22,IL,D,SAFETY BELT USED,DID NOT DEPLOY,NONE,NONINCAPACITATING INJURY,MT SINAI,CFD AMB 34,,OTHER,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
P144449,PASSENGER,JC247000,607888,05/02/2019 02:31:00 PM,3,CHICAGO,IL,60652,F,,,,SAFETY BELT USED,DID NOT DEPLOY,NONE,NONINCAPACITATING INJURY,MT SINAI,CFD AMB,34,,,,,,,,,
P144450,PASSENGER,JC247000,607888,05/02/2019 02:31:00 PM,6,CALUMET CITY,IL,60409,F,18,,,SAFETY BELT USED,DID NOT DEPLOY,NONE,NONINCAPACITATING INJURY,MT SINAI,CFD AMB,34,,,,,,,,,
O638244,DRIVER,JC247000,607889,05/02/2019 02:31:00 PM,,CHICAGO,IL,60623,M,22,IL,D,SAFETY BELT USED,"DEPLOYED, SIDE",NONE,NO INDICATION OF INJURY,REFUSED,DNA,,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
O637624,DRIVER,JC246927,607292,05/02/2019 02:30:00 PM,,CHICAGO,IL,60643,M,89,IL,D,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,FAILED TO YIELD,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
O637643,DRIVER,JC246927,607309,05/02/2019 02:30:00 PM,,CHICAGO,IL,,F,74,IL,D,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
O637594,DRIVER,JC246902,607272,05/02/2019 02:30:00 PM,,CHICAGO,IL,60617,M,30,IL,,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
O637595,DRIVER,JC246902,607275,05/02/2019 02:30:00 PM,,CHICAGO,IL,60660,M,30,IL,,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
O637585,DRIVER,JC246880,607263,05/02/2019 02:30:00 PM,,CHICAGO,IL,60620,M,72,IL,D,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,FAILED TO YIELD,PARKED VEHICLES,NORMAL,,,,TEST NOT OFFERED,,
O637586,DRIVER,JC246880,607271,05/02/2019 02:30:00 PM,,PARK FOREST,IL,60466,M,54,IL,D,SAFETY BELT USED,DID NOT DEPLOY,NONE,"REPORTED, NOT EVIDENT",,,,NONE,PARKED VEHICLES,NORMAL,,,,TEST NOT OFFERED,,
P144323,PASSENGER,JC246880,607271,05/02/2019 02:30:00 PM,3,,,,M,,,,SAFETY BELT USED,DID NOT DEPLOY,NONE,"REPORTED, NOT EVIDENT",,,,,,,,,,,,
O637578,DRIVER,JC246866,607256,05/02/2019 02:20:00 PM,,,,,M,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
O637579,DRIVER,JC246866,607262,05/02/2019 02:20:00 PM,,SUMMIT,,,F,,,,NONE PRESENT,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,NORMAL,,,,TEST NOT OFFERED,,
O637608,DRIVER,JC246820,607289,05/02/2019 02:15:00 PM,,CHICAGO,IL,60632,F,46,IL,D,USAGE UNKNOWN,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
P144327,PASSENGER,JC246820,607289,05/02/2019 02:15:00 PM,3,CHICAGO,IL,60632,M,16,,,USAGE UNKNOWN,DID NOT DEPLOY,NONE,"REPORTED, NOT EVIDENT",HOLY CROSS,AMB 54,,,,,,,,,,
P144328,PASSENGER,JC246820,607289,05/02/2019 02:15:00 PM,6,CHICAGO,IL,60632,F,15,,,USAGE UNKNOWN,DID NOT DEPLOY,NONE,"REPORTED, NOT EVIDENT",HOLY CROSS,AMB 54,,,,,,,,,,
O637609,DRIVER,JC246820,607305,05/02/2019 02:15:00 PM,,CHICAGO,IL,60632,F,81,IL,D,USAGE UNKNOWN,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
O637777,DRIVER,JC247187,607439,05/02/2019 02:00:00 PM,,,,,X,,,,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,DNA,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
O638121,DRIVER,JC246813,607782,05/02/2019 02:00:00 PM,,CHICAGO,IL,60615,F,79,IL,D,SAFETY BELT USED,DID NOT DEPLOY,NONE,NONINCAPACITATING INJURY,ST. MARY'S,CFD AMB 3,,DISREGARDED CONTROL DEVICES,WINDSHIELD (WATER/ICE),NORMAL,,,,TEST NOT OFFERED,,
O638122,DRIVER,JC246813,607792,05/02/2019 02:00:00 PM,,CHICAGO,IL,60647,M,75,IL,D,SAFETY BELT USED,DID NOT DEPLOY,NONE,NONINCAPACITATING INJURY,ST. MARY'S,CFD AMB 3,,NONE,WINDSHIELD (WATER/ICE),NORMAL,,,,TEST NOT OFFERED,,
O638029,DRIVER,JC246801,607695,05/02/2019 02:00:00 PM,,CHICAGO,IL,60629,M,41,IL,D,SAFETY BELT USED,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,,,,FAILED TO YIELD,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
O638030,DRIVER,JC246801,607699,05/02/2019 02:00:00 PM,,CHICGO,IL,60601,M,51,IL,D,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
O637557,DRIVER,JC246786,607241,05/02/2019 01:55:00 PM,,CHICAGO,IL,60609,F,29,IL,,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NONE,,DISREGARDED CONTROL DEVICES,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
O637558,DRIVER,JC246786,607247,05/02/2019 01:55:00 PM,,CHICAGO,IL,60636,M,49,IL,D,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NONE,,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,
O642046,DRIVER,JC254969,611503,05/02/2019 01:45:00 PM,,CHICAGO,IL,60656,M,29,IL,,USAGE UNKNOWN,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
O642047,DRIVER,JC254969,611508,05/02/2019 01:45:00 PM,,CHICAGO,IL,60639,M,19,IL,,USAGE UNKNOWN,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,
